t	x
0.002225	0.0040816
0.00295	0.005102
0.00375	0.0061224
0.00445	0.0071429
0.005075	0.0081633
0.00565	0.0091837
0.00615	0.010204
0.006675	0.011224
0.007275	0.012245
0.0077	0.013265
0.00825	0.014286
0.00905	0.015306
0.00955	0.016327
0.010125	0.017347
0.011175	0.018367
0.012	0.019388
0.012825	0.020408
0.0136	0.021429
0.01435	0.022449
0.015275	0.023469
0.016025	0.02449
0.016725	0.02551
0.017725	0.026531
0.0184	0.027551
0.01925	0.028571
0.020025	0.029592
0.020625	0.030612
0.021375	0.031633
0.022	0.032653
0.022725	0.033673
0.0235	0.034694
0.024225	0.035714
0.0249	0.036735
0.02565	0.037755
0.02645	0.038776
0.02715	0.039796
0.0279	0.040816
0.028675	0.041837
0.0294	0.042857
0.03015	0.043878
0.0309	0.044898
0.031675	0.045918
