x	ct
0.0040816	1.3605
0.0051276	1.4271
0.0061735	1.4896
0.0072194	1.5944
0.0082653	1.7443
0.0093112	1.806
0.010357	1.9436
0.011403	1.9623
0.012449	1.7593
0.013495	1.7746
0.014541	1.7902
0.015587	1.4682
0.016633	1.3605
0.017679	1.3515
0.018724	1.2598
0.01977	1.2076
0.020816	1.2444
0.021862	1.2676
0.022908	1.3082
0.023954	1.2369
0.025	1.2598
0.026046	1.2835
0.027092	1.2755
0.028138	1.3082
0.029184	1.3978
0.03023	1.4172
0.031276	1.4682
0.032321	1.4682
0.033367	1.4172
0.034413	1.4474
0.035459	1.3978
0.036505	1.3697
0.037551	1.3978
0.038597	1.3883
0.039643	1.3515
0.040689	1.3605
0.041735	1.3789
0.042781	1.3605
0.043827	1.3515
0.044872	1.3636
0.045918	1.331
