x	v
0	-5.6934e-07
0.0010204	-5.8617e-07
0.0020408	-5.4163e-07
0.0030612	-4.2062e-07
0.0040816	-1.8483e-07
0.005102	-2.3498e-08
0.0061224	4.9077e-08
0.0071429	2.4089e-08
0.0081633	6.3656e-09
0.0091837	1.1815e-08
0.010204	1.6411e-08
0.011224	1.658e-08
0.012245	1.7678e-08
0.013265	2.1919e-08
0.014286	2.273e-08
0.015306	2.1713e-08
0.016327	2.1688e-08
0.017347	2.3824e-08
0.018367	2.668e-08
0.019388	2.6914e-08
0.020408	2.6383e-08
0.021429	2.6471e-08
0.022449	2.7e-08
0.023469	2.762e-08
0.02449	2.7243e-08
0.02551	2.7208e-08
0.026531	2.7385e-08
0.027551	2.6916e-08
0.028571	2.6929e-08
0.029592	2.6862e-08
0.030612	2.6758e-08
0.031633	2.6082e-08
0.032653	2.5835e-08
0.033673	2.6603e-08
0.034694	2.5676e-08
0.035714	2.4493e-08
0.036735	2.4208e-08
0.037755	2.4269e-08
0.038776	2.3883e-08
0.039796	2.2923e-08
0.040816	2.1702e-08
0.041837	2.1963e-08
0.042857	2.1412e-08
0.043878	1.9932e-08
0.044898	1.9237e-08
0.045918	1.865e-08
0.046939	1.7692e-08
0.047959	1.8145e-08
0.04898	1.6919e-08
0.05	1.4953e-08
